id	text	class_label
5818	New concept এর নাটক,,ভালো লাগল বেশ	positive
6969	আমার কাছে নাটক তা দেখার মতো ছিলো, অনেক ভালো লাগছে নাটক তা বস is aloyes boss	positive
9109	অনেকদিন পরে একটা ভালো নাটক দেখলাম। অপূর্ব ও মিথিলা দুজনের অভিনয় অনেক ভালো লাগে	positive
4392	ভালবাসা মানেই পাওয়া নয়, ভাল চাওয়া। অসাধারণ গল্প।	positive
2622	মজা পাই নাই	negative
5819	দেখা শুরু করলাম ইনশাআল্লাহ ভালো হবে।	positive
3019	মীর সাব্বিরের অভিনয় আমার চমৎকার লাগে। কিন্তু এই নাটকে উনি ওনার চরিত্রটা পুরোটা ঠিক ফুটিয়ে তুলতে পারেননি।	negative
5693	ভালো লাগলো নাটকটা দেখে।	positive
9427	অসাধারণ শেষ টা দেখবেন কিন্তূ তাহলে বুঝবেন ভালোবাসা কাকে বলে	positive
11196	কমেন্ট করার ভাষা নাইকেননা আমিও একজন বেয়াদব,আমার সবচেয়ে কাছের মানুষ গুলোর কাছে।।নিশো ভাই অসাধারন অভিনয় করছে,সময়ের সেরা অভিনেতা।।।	positive
6168	মিজানুর রহমান আরিয়ান ভাই আপনার নাটক সব সময় অসাধারণ হয়।এটাও ব্যতিকম হয় নি। নিশো ভাই এবং মেহজাবিন আপু দুজনকেই ধন্যবাদ অনেক ভাল হয়েছে	positive
804	সাউন্ড কোয়ালিটি খুবই খারাপ	negative
7511	খুব সুন্দর একটি নাটক	positive
4864	সুন্দর মেসেজ	positive
10631	অসাধারন নাটক টা আমার খুব বেশিই ভালো লাগে।	positive
4547	অসাধারণ একটি ড্রামা,	positive
9939	অসাধারণ একটি নাটক দেখে খুব ভালোলাগছে	positive
1586	আফসোস হয় ভারতীয়  মেয়েরা আমাদের দেশের নাটক দেখে, আর আমাদের মেয়েরা...ভারতিয় সিরিয়াল দেখার পাগলল	negative
1387	নাটক টা বেশি ভালো হয়নি সবার অভিনয় গুলা দেখে  মনে হচ্ছে যে তারা আসলে অভিনয় করছে	negative
3745	চমৎকার একটি নাটক নিশো বস এন্ড তানজিন তিশা বেষ্ট জুটি আমার খুব ভালো লাগছে উনাদের অভিনয়,, আর কাহিনী টা অসাধারণ ছিলো	positive
8606	খুব ভাল  লাগলো	positive
3758	খুব ভালো লাগলো নাটকটা দেখে অসাধারণ নাটক টা	positive
5719	নামাযকে গুরুত্ব দেওয়ার বিষয়টা খুব ভালো লাগছে	positive
8282	আবেগ টা এক বারে বের হয়ে গেল...  সত্যিই অসাধারণ। আরিয়েন ভাই কে অনেক ধন্যবাদ এরকম কাহিনীর জন্য।	positive
