id	text	class_label
9131	খুব সুন্দর	positive
6192	সত্যি অসাধারণ।	positive
419	ফালতু নাটক	negative
9326	খুব সুন্দর	positive
9464	আমার দেখা সেরা নাটক	positive
900	ফালতু নাটক	negative
2755	বালের নাটক	negative
9087	চমৎকার একটি নাটক উপহার দিলেন ভাই, ধন্যবাদ জানাই অপূব এবং মিথিলা কে, আগামি দিনে আরো ভালো ভালো নাটক দেখতে চাই আমরা,	positive
2804	বালের নাটক	negative
3165	ফালতু নায়ক	negative
8476	অসাধারন	positive
8665	আমি এর আগে,কখনো কোন নাটক দেখে কমেন্ট করিনি। এই ফার্স্ট কমেন্ট করছি। নাটক টা এক কথায় awesome ✊। অসাধারণ..........!	positive
7442	খুব সুন্দর নাটক	positive
7949	ভালো লাগলো	positive
61	ফালতু একটা নাটক	negative
245	ফালতু নাটক	negative
3275	বাংলা নাটকে অশ্লীলতা দিনদিন বেডেই চলছে	negative
5442	এক কথায় অসাধারণ	positive
4970	অসাধারণ নাটক	positive
9720	অসাধারণ একটি নাটক	positive
7679	আমি পশ্চিমবঙ্গ থেকে বলছি শুধু যে এই নাটক টি আমার ভালো লেগেছে তা নয় আমার অনেক নাটকই ভালো লাগে বিশেষ করে Apurbo র অভিনিত নাটক।আশা করি আরো সুন্দর সুন্দর নাটক দেখতে পাব।আমরা যে এত সুন্দর সুন্দর নাটক দেখতে পাচ্ছি তার জন্য অসংখ্য ধন্যবাদ বাংলাদেশ এবং বাংলাদেশের সকল মানুষ কে।।।।	positive
2046	নিবেদনের নামে এসব কি?  ছি ছি ছি	negative
65	ফালতু নাটক	negative
5021	নামাজ পড়ার ব্যাপারটা সবচেয়ে ভালো লাগছে।।	positive
3843	অসাধারণ নাটক।	positive
2445	এইগুলোর নির্মাতা কোন আবাল? এদের মুতের পুকুরে চুবিয়ে মারা উচিৎ। শালা মাদারচোদ।	negative
9761	খুব সুন্দর	positive
405	ফালতু নাটক।	negative
2380	এটা কোন নাটক হইলো  কাহিনী ছাড়া ফেতরামি করে নাটক তা শেষ করলো। মোশাররফের মত একজন অভিনেতা যদি এমন রুচিহীন নাটক করে তাহলে আর বলার  কি থাকে।	negative
3617	দারুন একটা নাটক	positive
10778	কথায় আছে সুজা আগুুলে ঘি না উঠলে আগুুল বেকাতে হয়,,, সত্যি যদি আগুুল বেকালে খারাপ পথ থেকে মানুষ ভাল পথে ফিরে আসে   ত হলে আমি বলব এ রকম বেয়াদব প্রতেকটা এলাকায় যেন তাকে। অনেক ভাল লেগেছে গল্পটা এই চরিক্রে নিশো ভাইয়াকে খুব সুন্দর মানিয়েছে।	positive
4494	অসাধারণ নাটক	positive
3753	অনেক সুন্দর	positive
10475	অসাধারণ নাটক	positive
6375	ধন্যবাদ মিজানুর রহমান আরিয়ান ভাই আর তার পুরো টীমকে। আপনার একটা বিশেষ দিক আমি জানি, সারারাত স্ক্রিপ্ট পড়ে নিজে আয়নার সামনে দাঁড়িয়ে অভিনয় করে তা রেডি করেন। অনেক নৈপুন্য শৈলী অার কারুকার্জ আপনার কাজে। সত্যি আমরা ধন্য এমন একজন নির্মাতা পেয়ে। দেশের মুখ আরোও উজ্জ্বল করে যান নিজ কর্মদক্ষতা দিয়ে। শুভকামনা নিরন্তর।।।	positive
7116	ভালো লাগছে	positive
9735	আল্লাহ আমাকে নেক সন্তান দান করবেন, আমিন	positive
2755	বালের নাটক	negative
2858	মানে এইটা কোনো নাটক হলো।Fuc****.	negative
9565	নাটকটা দেখে প্রথমে অনেক ভালো লাগছিল। বুঝতেও পারি নি লাস্টে এসে এত কাদতে হবে। এখন ভাবি যাকে এত এত ভালোবাসি সে যখন আমার কাছে থাকবে না তখন আমি কি করবো। কে কে কেদেছ নাটকটা দেখে? hit the like button	positive
1066	ফালতু নাটক	negative
4840	অসাধারণ লাগলো	positive
6126	এক কথায় অসাধারণ	positive
8557	অসাধারণ একটি নাটক, পুরো ১ ঘণ্টা ৩৮ সেকেন্ড উপভোগ করেছি।	positive
112	বেশি বাড়াবাড়ি হয়ে গেছে	negative
5987	সেরা নাটক ২০১৯	positive
4599	অনেক ভালো লাগছে	positive
