id	text	class_label
943114700719640576	৯৯% রাই ভুল করে এবার আপনাদের পালা!!! #আইকিউ_টেস্ট ! পারলে উত্তর দিন ২ + ২ = ৪ ৩ + ৩ = ১০ ৪ + ৪ = ১৮ ৫ + ৫ = ২৮ ৬ + ৬ = ৪০ ৯ + ৯ = ??	Positive
1020371044673105920	New phone কিছু লিখতে গেলেই উলট পালট হইয়া যায় । এক লাইন লিখতে 10 বার কাটা লাগে । এ কেমন বিচার । ὡ5 বাংলাদেশ ব্যাংক এর সাথে জড়িত নয়তো ὤ4	Negative
508650055021391872	ঝিনাইদহে আবাসিক হোটেলে মাদক ও দেহ ব্যবসা জমজমাট	Negative
941363488445870080	@bojmurc আমিও আমিও আমার কুক্কুট স্তন্যপান চর্বি মোরগ খারাপ	Neutral
943114700719640576	৯৯% রাই ভুল করে এবার আপনাদের পালা!!! #আইকিউ_টেস্ট ! পারলে উত্তর দিন ২ + ২ = ৪ ৩ + ৩ = ১০ ৪ + ৪ = ১৮ ৫ + ৫ = ২৮ ৬ + ৬ = ৪০ ৯ + ৯ = ??	Negative
1043096646018523136	আমার গর্ব আমার বাংলাদেশ https://t.co/ryhR13Lf2A	Negative
922771420718833664	কস্ট হয় নস্ট হয় ভ্রষ্ট হয় গরম হয় ঠান্ডা হয় ভাল হয় খারাপ হয় ভেজাল হয় খাটি হয় গরিব হয় ধনী হয় সুন্দর হয় কালো হয় ভয় হয় ক্ষয় হয়	Neutral
508637066846957568	একজন মুসলমানের বুনিয়াদী আকিদা -বিশ্বাস ঃ## আল্লাহ পাকই মানব জাতির একমাত্র রব,বিধানদাতা ও হুকুমকর্তা।## কুরআন ও...	Neutral
943114700719640576	৯৯% রাই ভুল করে এবার আপনাদের পালা!!! #আইকিউ_টেস্ট ! পারলে উত্তর দিন ২ + ২ = ৪ ৩ + ৩ = ১০ ৪ + ৪ = ১৮ ৫ + ৫ = ২৮ ৬ + ৬ = ৪০ ৯ + ৯ = ??	Neutral
993541137989156864	- ভালোবাসা কী? . : একটা অসুখ। . - কেমন অসুখ? . : কর্কট টাইপ অসুখ। . - কেন এই অসুখ হয়? . : অজানা। . - লক্ষণ? . : আ… https://t.co/chYzJMXJN5	Negative
1011307825207758848	RT @HotSonai: পৃথিবীতে যতই সুখ পাও না কেন সব বৃথা । আসল সুখ আর তৃপ্তি আছে একটা মেয়ের আলিঙ্গনে । আর এটাই ধ্রুব সত্য আগে ছিল আর পরে ও থাকবে…	Positive
997416645542006785	RT @allahonlyone1: আগামী কাল এই সময়ে সেহরী খাব ὠD এর চেয়ে বড় খুশির খবর আর কি হতে পারে ὉC সবাইকে, মহান আল্লাহ তায়ালা সব গুলো রোজা আর ৫ ও…	Positive
