id	text	class_label
2760	আফতাব আপনি ভালো আছেন?	Neutral
955	মমিনুল হক আর মুশফিক দুজনেই নিজেদের উইকেট জঘন্যভাবে প্রতিপক্ষকে উপহার দিয়ে আসলেন।	Positive
43	মিরপুর এর পিচ এ যে কেও বোলিং করতে পারে	Neutral
2211	মুদ্রার ঐ পিঠ দেখা হয়ে গেল বাংলাদেশের.দেশের মাঠের সুবিধা নিতে গিয়ে উপমহাদেশীয় দল শ্রীলংকার বিরুদ্ধে জেতার জন্য স্পিন সহায়ক উইকেট.	Negative
2490	শুভকামনা রাজ্জাক ভাই।	Negative
2556	বাংলাদেশের চিন্তা বাদ দাও,,ত্রি-দেশীয় সিরিজে ৮৩ ও ফাইনালে হেরে মাথা পুরোটাই উত্তেজিত করে দিছে।	Negative
1500	আমি আর কি বলবো,,, আর কিবা করার আছে,,, আমরা সুধু দেখেই জাব	Neutral
668	তাতে কিছু ম্যাচ খেলতে দিয়ে অবশর দিয়ে দেওয়া ভাল...সেও গর্বের সাথে অবশর এ যাবে আর নতুনদের ভাল ভাবে যায়গা হবে।	Positive
2399	আমাদের বুট্টু কোচার চুজন কাকা যতদিন দায়িত্বে থাকবে, আমাদের পতন কেউ ঠেকাতে পারবেনা!	Negative
1210	মাশরাফি হল বাংলাদেশের মাহেন্দ্র সিং ধোনি	Positive
1406	মুখ্যমন্ত্রী, সাংসদ দের ছেলেকেও যোগ্যতা দিয়ে রাজ্য টিম, উনূর্ধ বয়স টিম গুলোতে খেলতে হয় ভারতে	Positive
159	।কিন্তু এখানে টিম বাংলাদেশ বলে কথা।তাই তিনি কতটা এই অধিনায়কত্বের ভার বহন করতে পারেন সেটা দেখার অপেক্ষায় আমরা।	Neutral
2133	কুত্তারা,,এসব আবাল দের বাদ দিয়ে নিউ পাইবলাইন এর ক্রিকেটার দের সুযোগ দেওয়া উচিত	Negative
1299	ইংল্যান্ডের বিপক্ষে টেস্ট সিরিজহারের পর ভারতের গণমাধ্যমে ধোনির পদত্যাগের দাবী তুলে।	Neutral
227	সংবাদ সমল্মেনে এসে জাতীয় বীর ম্যাশের সহজ কথা- আমরা খেলেছি বোলিং পিচে কিন্তু তারা খেলেছে ব্যাটিং পিচে।	Negative
2869	এগুলো বাংলাদেশ ক্রিকেটের বিনোদন। আরো কত কি যে দেখার বাকি আছে...	Negative
584	মাহমুদুল্লাহ বাংলার ক্রিকেটের ৫ তারার মধ্যে এক তারা	Positive
677	আমার মতে আব্দুর রাজ্জাক ফিরতে পারলে যত টুকু দল উপকৃত হবে।তার থেকে ও বেশি উপকৃত ফলাফল আশা করা যায়	Positive
751	দূরু মিয়া রানের পাহাড় দিবো।	Negative
2747	জেসন গিলেস্পিকে ডাইন দ্যা উইওকেটেএসে যেবাভে দিলেন'না ভাই,।	Positive
2296	গাঞ্জা একটু বেশি খাইছে	Negative
532	রাহুল কে আমরা কোছ হিসেবে দেখতে চাই বাংলাদেশের।	Positive
1305	খেলার ফলাফল কি	Neutral
2034	সিলেক্টররা অনেক দিন ধরেই বাজে ভাবে সিলেকশন করছে।	Negative
2128	এরাই বাংলাদেশ প্লেয়ার Triseries ফাইনালে এর 50 ওভারে ওভার প্রতি 3 3.50 রেটে রান করে অলআউট হয় আর 90 অভারের খেলায় ওভার প্রতি 4 করে অলআউট হয়!	Negative
2914	"সাব্বিরকে"" কেনো ২য় টেস্টে হুট করে নেয়া হলো?"	Negative
224	তামিম খেললে বেশ...না খেললে সব শেষ। আজ তার জলন্ত প্রমাণ।	Negative
431	যে ভোদাই মমিনুল রে নিয়া হাথুরুকে প্রশ্ন করছে সে একটা খাটি চোদনা	Negative
2658	বিকেএসপিতে বৈশাক মাস চলছে নাকি।	Negative
600	লিটনের ব্যাট হাসবে।তবে একটু সময়ের অপেক্ষা।	Positive
2307	ব্যাখ্যারর মায়রে ইন্ডিয়া	Negative
47	আর অনেক আগেই রাজ্জাক কে দলে নেওয়া প্রয়োজন ছিলো, তাহলে আর ভালো করতো বাংলাদেশ।	Positive
367	আব্দুল রাজ্জাক কে অবশ্যই সুজুগ দেয়া উচিৎ।	Negative
621	এক ম্যাচ ভালো খেললেই দশ ম্যাচ খারাপ খেলা খেলয়ারকে নিয়ে হইচই করার কিছুই নেই	Negative
2705	বাস্তবতা হলো আজকে বাংলাদেশের পারফরমেন্সটা ঠিক না হলো বাংলাদেশ হারতো।	Neutral
1859	গতিদানব তো আছেই, ব্যাটিং কোচের কি দরকার?....	Negative
651	আরো আগে রাজ্জাকের প্রত্যাবর্তন করা দরকার ছিল	Positive
1393	দশটা হেরে একটা জিতলে ত বাড়ি-গাড়ি সব পায়	Negative
