id	text	class_label
473	 আল্লাহ অবশ্যই এদের পাশে থাকবে। 	Positive
1954	 বেগম খালেদা জিয়া সঠিক বলেছেন। 	Positive
2145	 ভারতীয় অনূর্ধ্ব-১৯ দলের কোচ ম্যাচ শেষে পাকিস্তানের ড্রেসিংরুমে গিয়ে সবাইকে সান্ত্বনা দিয়েছেন।	Positive
2250	খুব গুরুত্ব পূর্ন একটি ভাল সিদ্ধান্ত রাজ্জাক ভাইকে ফিরিয়ে আনার জন্য ।	Positive
4680	 এই বাভে যদি সফর করা যেত মানুষ আর লক্ষ লক্ক টাকা করছ করে বিদেশে যেত না 	Negative
5646	ছাব্বির তো মনে হয় গুণ্ডামি করতে মাঠে নামে। তারপর চোখে সরষে ফুল দেখে নিজেই অক্কা পায়।	Negative
5393	হাতুরে গংরা নিপাত যাক,প্রতিভা মুক্তি পাক।	Negative
6634	তারা ঘরোয়া লীগ খেলে যে টাকা পায় জাতীয় দলে খেলেও সে টাকা পায় না। তবে কেনো বেতন বাড়াবে? 	Negative
4630	 পংগা মারুক হিলারি গহা মারুক 	Negative
3265	 এমন খেলোয়াড়ের প্রয়োজন যে সব সময় ফিট থাকে।অানফিট খেলোয়াড়দের ওপর ভরসা নাই। 	Negative
5051	রাজ্জাকের এমন পারফর্মেন্স দেখে কি এখন বিসিবির লজ্জাবোধ হয়না?	Negative
569	 মাশাআললাহ সুইট কেমন আছেন ভাই আপনার মেয়ের নামকি 	Positive
4875	 দয়া করে এ ভুল কেউ করবেন্না। চোঁখের জল যদি কারো বেশি হয়ে থাকে তাহলে আসতে কোনো আসুবিধা নেই। 	Negative
6244	 অল্প কয়েকটা খেলোয়ারের কারনে দল হিসেবে টিকে আছে, নয়তো কবেই উধাও হয়ে যাইত!,	Negative
1228	 তোমার হা তে এ দে শেরে পতাকা ভয় কি জয় বাংলা সাবাস বাংলা দেশ 	Positive
5582	আজকের ম্যচে সকিব তামিম ব্যাটসম্যান। বাকি সবাই হা ডু ডু খেলোয়ার??	Negative
2840	আমরা টাট্টু গোলাপী  ভালবাসা	Positive
