id	text	class_label
676	আমার মতে আব্দুর রাজ্জাক ফিরতে পারলে যত টুকু দল উপকৃত হবে।তার থেকে ও বেশি উপকৃত ফলাফল আশা করা যায়	positive
484	বিশ্বের শক্তিশালি ব্যাটিং বোলিং লাইনআপের কাছে দুই ম্যাচ শোচনীয় ভাবে হারল স্বাগতিক দক্ষিন	negative
1936	হার্দিক পান্ডিয়ার মত ধুমধারাক্কা অলরাউন্ডার দের জন্ম বাংলাদেশে অহরহ কিন্তু,দাদা রাজনীতি আর,অস্বচ্ছতার বলি আমরা।.	negative
184	ওদের রঙ্গনা হেরাত একাই যথেষ্ট।	negative
861	ভাল খবর।কিন্তু পরে অাবার যেন হেরাথে দিশেহারা না হয় বাঘেরা!!!	negative
1741	টেস্টের ফলাফল যাই হোক পিচের দোষ দেয়া অজুহাত ছাড়া কিছুই না	negative
1386	SL কি সুন্দর খেলে যাচ্ছে, যেমন বলিং তেমন ব্যাটিং	positive
208	টারনিং পিচ বানিয়ে ওষুধ খুজে লাভ কি বাউন্সি পিচ বানালেই হয় ।	negative
284	বাংলাদেশ জিতার কথা,এই রান শ্রীলংকা পারার সম্ভাবনা খুবি কম,	positive
35	ইমরুল খারাপ ফর্মে থাকা অবস্থায় তাকে নেওয়া হয়তেছে অথচ শাহরিয়ার নাফিসকে সুযোগ দেওয়া হয়তেছে না।	negative
135	ওরা ত ২০০ করছে তোরা ১০০ করতে পারবে না	negative
681	জ শ্রীলঙ্কান স্পিনার হেরাত ৪০/৪২ বছর বয়সে ক্রিকেট খেলছে!!	neutral
993	বোলারদের সফলতা ছাপিয়ে যাচ্ছে ব্যাটসমানরা।খুবই লজ্জাজনক।	negative
525	ভারতীয় বোলারদের বোলিংয়ে পাকিস্তানি ব্যাটসম্যানরা ছিল নিতান্তই অসহায়	negative
663	৪বছর অপেক্ষার পর যেহেতু জাতীয় দলে খেলার সুযোগ হয়েছে, আশা করি রাজ্জাক সুযোগ কাজে লাগিয়ে তার জায়গা ধরে রাখবে।	positive
880	শুভকামনা রাজ্জাক ভাই।	positive
352	সানজামুল কে বাদ দেওয়া হলো দল থেকে।	negative
930	এলাহিকান্ড তো ঘটিয়েছেন তামিম, ইমরুল, মুশি আর মিমি।	negative
397	লেগ ভেল্কির কোন ঔসুধ নাই।আফ্রিকার মরন দশা!!	negative
837	ভাল লাগল রাজ্জাককে আবার সুযোগ দেয়ার জন্য।	positive
69	মামু, চাচা নেই বলে অবহেলিত ক্রিকেটার আব্দুর রাজ্জাক কে, দীর্ঘ দিন থেকে জাতীয় টিমে নেওয়া হয়নি,	negative
1087	গতকাল খেলা দেখে যা বুঝলাম জিম্বাবুয়ে খেলোয়াড়রা বাংলাদেশের সব বলারদের প্রত্যেকটি বলকে গুরুত আকারে দেখছে।	negative
1680	আমাদের কোচ চাই ।	neutral
31	বাংলাদেশ উপেক্ষা করেনি, করেছে হাতুরাসিংহে।	neutral
855	তুষার ইমরানকেও দলে সুযোগ দেওয়া উচিত	positive
347	যতবলে ততনা আমরাও পারি লংকাকে হারাতে।	negative
1724	দুঃখ হয় নিজ দেশের, নিজ মাঠে ব্যাটিং বিপর্যয়	negative
2506	ম্যাক্সওয়েল মানেই ক্রিকেট বিনোদন	negative
606	লিটন সৌম্য কে দলে নিয়মিত দেখতে চাই	negative
2663	একদম ঠিক কথা ভাই। ১০-১২ বছর ধরে খেলে এদের এখনো পেস বোলিং দেখলে বাতে ব্যাথায় ধরে,	negative
143	এই সুযোগে অবসর নেয়া উচিত,,খুব ভাল হবে রাজ্জাকের জন্য	negative
315	এর চেয়ে বেশি রানে জিতার রেকড আছে কি	neutral
483	বিশ্বের শক্তিশালি ব্যাটিং বোলিং লাইনআপের কাছে দুই ম্যাচ শোচনীয় ভাবে হারল স্বাগতিক দক্ষিন	negative
488	অাম্পায়াররা ভারতের চাকরি করে না!	negative
1382	ফ্ল্যাট উইকেট বানায় দাও তাহলে স্যার মমিনুল আবার সেঞ্চুরী করবে	negative
