id	text	class_label
890	 আল্লাহ যা করে ভালোর জন্য করে হে আল্লাহ ওই কাপের দের উপর তোমার সরবচ্চ আজাব ঢেলে দাও 	Positive
5606	গতকাল খেলা দেখে যা বুঝলাম জিম্বাবুয়ে খেলোয়াড়রা বাংলাদেশের সব বলারদের প্রত্যেকটি বলকে গুরুত আকারে দেখছে। 	Negative
72	 আপনহারা নিউজ দেখানোর কাজ করলেন সব ঠিক আছে। কিন্তু আপনাদের কাজ হল বাংলাদেশ সরকার কে আয়না দেখানো যাতে রহিংগা মুসলিম দের রক্ষা করে।আসা করি আপনারা দয়া করবেন 	Positive
2690	লাহোর দেরী-রাতে যখন আপনি সস্তা উপর কিছু সত্যিই সুস্বাদু খাবার প্রয়োজন মধ্যে হাঁসের একটি ভাল জায়গা - আপনি সম্ভবত আপনি চার ডেলরার জন্য পেতে খাদ্য পরিমাণের সমাপ্তি সমস্যা হবে।	Positive
978	 আসা করি ভাল কাজ করবে টামপ 	Positive
6728	নিজের দেশের উইকেট এ ব্যাট করতে পারে না লজ্জা, লজ্জা।*	Negative
6045	ফ্ল্যাট উইকেট বানায় দাও তাহলে স্যার মমিনুল আবার সেঞ্চুরী করবে	Negative
1238	 সবাই কে সমান অধিকার নিশ্চিত করতে হবে ।।।। 	Positive
5042	 মোমিনুল, রাজ্জাক কতোয়না ভালো খেলছে। অথচ এরায় সুযোগ পায়না।	Negative
6782	এইরকম একটা খেলোয়ার কবে যে আমাদের হবে??	Negative
6857	লে তাদের আর খুঁজে পাওয়া যায় না কেনো। আজ ও পর্যন্ত বাংলাদেশ বিশ্ব মানের পেসার পাচ্ছে না কেনো??? আসলে আমাদের সমস্যা টা কোথায়???	Negative
5052	রাজ্জাক রাজ্জাকের মতোই ফিরে আসছে।	Negative
2080	মাশরাফি, সাকিব,মুশফিক,,তোমরা পার কোস ছাড়া,ম্যাচ জিততে	Positive
2815	আমি সুপারিশ করছিলাম তাদের  অত্যন্ত খাদ্য, পরিবেশ এবং বিস্ময়কর ক্যাফ সেন্ট বার্ট সেবার জন্য  ।	Positive
2930	এই কিছু সত্যিই ভাল, সস্তা সুশীল হয়।	Positive
1455	 ভাইয়া কাইন্ডলি এখানে একটু বলেন। এমবি নাই আর ফোনে টাকাও নেই ফ্রি চালাইই। ধন্যবাদ 	Positive
1392	 শুভ জন্মদিন আমার তাহসান ভাই। আপনার এই শুভজন্ম দিনে আপনার ছোট ভাই এর পক্ষ থেকে অসংখ্য লাল গোলাপের শুভেচ্ছা। আর আল্লাহ আপনাকে দীর্ঘজীবি করুক। আর এই দিনটি স্বরন করিয়ে দেওয়ার জন্য গ্র মীনফোনকে অসংখ্য ধন্যবাদ। 	Positive
2242	 তাকে টেস্ট আর ওডিআই দলে নিয়মিত চাই।	Positive
2169	 মাহমুদুল্লাহ বাংলার ক্রিকেটের ৫ তারার মধ্যে এক তারা	Positive
2237	খুশি হতাম যদি আব্দুর রাজ্জাক ভাইয়া ওয়ানডে ও টি টুয়েন্টি খেলতো	Positive
2499	 শ্রীলংকা তাদের প্রথম ইনিংস থেকে দ্বিতীয় ইনিংসে ৬ রান বেশি করেছে।	Positive
2939	Waitstaff খুব সুন্দর এবং আমার স্বামী তিনি তার খাবার উপভোগ করার জন্য swarfish প্রস্তাব।	Positive
1212	 এদের কে আলাদা রাষ্ট্র করে দেয়া হোক। 	Positive
5770	দল নির্বাচন থেকে শুরু করে সব ব্যবস্থাপনায় চরম অনিয়ম এবং অপেশাদারিত্বের চরিত্র ফুটে উঠেছে।	Negative
2978	অংশ বৃহৎ এবং সার্ভার সর্বদা একটি ভিন্ন স্টার্টার সঙ্গে আমরা আশ্চর্য।	Positive
1125	তাহলে গোটা দুনিয়াটা অনেক সুন্দর হতো। 	Positive
5410	মামু, চাচা নেই বলে অবহেলিত ক্রিকেটার আব্দুর রাজ্জাক কে, দীর্ঘ দিন থেকে জাতীয় টিমে নেওয়া হয়নি,,,	Negative
2473	ওদের টেলএন্ডার রা ব্যাটিং পারে।দ্বিতীয়ত,অসম্ভব না।	Positive
1439	 আগামী কালকে সবাইকে জ্বলে উঠতে হবে ইনশাল্লাহ 	Positive
6236	ক্রিকেট কে ধ্বংস করে দিচ্ছে শালারা।	Negative
6847	জাতীয় দলে আসলে ওর মত আবাল বোলারকে প্যান্ট খুলে পেটায় সব ব্যাটসম্যানরা।	Negative
2044	 প্রত্যাশা বড় ব্যাটিং বিপর্যয়ে না পড়ে যায় দল	Positive
2125	আফিফরাইতো আমাদের আগামীদিনের সাকিব,তামিম।	Positive
2634	unpretensious সেটিং একটি মহান সেবা গ্রেট খাদ্য,এবং ভাল মাপের মেনু ।	Positive
1964	 বোন দয়া করে আর কারও মনে কষ্ট দিওনা । কারন মন ভাঙা আর মসজিদ ভাঙা সমান। যাকে ভালবাসবে তাকে বিয়ে করে নিজের সুন্দর জীবন গুচিয়ে নেও এই কামনাই রইল। 	Positive
374	 অন্যের উপর ভরসা করে না থেকে নিজে প্ররিশ্রম করে খাওয়াটায় সবচেয়ে ভাল 	Positive
1831	 সবাই কে সমান অধিকার নিশ্চিত করতে হবে ।।।। 	Positive
441	 টাইগার দলপতি মাশরাফির ঝড়ো ব্যাটিংয়ের পর দুর্দান্ত বোলিংয়ে ইংল্যান্ডের বিপক্ষে সিরিজ সমতায় ফিরলো বাংলাদেশ 	Positive
6688	অগণিত ক্যাচ মিস,বোলারদের ক্রমাগত শর্টপিচ বল কি ছিলনা এই টেস্ট হারার জন্য।	Negative
6093	""""	Negative
1651	 ওই মিয়া চুড়ান্ত খবর দিন লাগবে আরো জাস্ট টা এলকার খবর এল টায়হিলারি অবশ্য ট্রাম্প ভোটে এগিয়ে আছে 	Positive
5075	মিরপুরে ২য় ইনিংসে পরে ব্যাটিং করা কঠিন আর দলে মোসাদ্দেককে না নেয়াটা বোধহয় ঠিক হয়নি। তরপরও শুভকামনা।	Negative
2932	পিজা সুস্বাদু এবং মালিকানাধীন NYC মধ্যে নিখুঁত একটি।	Positive
2005	প্রথমটি হচ্ছে, কোচ অত:পর সাকিব,সাকিব আর সাকিবরে দলে রাখা	Positive
5358	সাবধান বিশ্ব ক্রিকেট।তোমাদের জমদূত ফিরে এসেছে।	Negative
156	 আমার দেখা শ্রেষ্ঠ মানুষ দের মধ্যে একজন। 	Positive
145	 মানবতার স্বার্থে অবশ্যই বালাদেশের ঠাই দিতে হবে ।পরে কূটনৈতিক সম্পর্কের মাধ্যমে ফেরৎ পাঠাতে হবে। 	Positive
5495	বোলিং পিচ তবে আমাদের ব্যাটসম্যানদের আউটগুলো আত্মহত্যা ছাড়া আর কিছুই নয়।	Negative
2788	খুব ভাল দাম এবং খুব ভাল সেবা।	Positive
1506	 আমাদের এই মুহুর্তে বেশকিছু ডাটা অফার চালু আছে। আপনি সেখান থেকে আপনার পছন্দের অফারটি বেছে নিতে পারেন। আমাদের সকল নিত্যনতুন ডাটা অফার জানতে আমাদের ওয়েবসাইট ভিজিট করতে অনুরোধ করছি। 	Positive
5499	 দুই ইনিংস মিলাইয়া ২২২ রান করাটাই বাংলাদেশের পক্ষে চ্যালেজ	Negative
1351	 আপনাদের জন্য আমাদের মোস্তাফিজুর মেহেদি মিরাজ ই যথেষ্ট একবার এসেই দেখেন টাইগারদের নাম শুনলেই তো আপনাদের শরীর অবোশ হয়ে যায় 	Positive
5546	বাংলাদেশ ভাল খেললেই মিডিয়া বেশি লাফালাফি করে এর জন্য খেলোয়াররা নিজেদের hero ভাবতে শুরু করে	Negative
2732	পরিষ্কারভাবে  সেরা শহরের মধ্যে খাদ্য, পানীয় এবং সেবা প্রয়োজন পরে	Positive
