id	text	class_label
999746436450299904	নুর নবীজী [ ﷺ ] র শান মান ও নুর নবীজী [ ﷺ ] র রওজা শরীফের সম্মান -- আল্লামা অধ্যাপক মুফতি জসিম উদ্দিন আল-আজহারী [… https://t.co/vmD3jnONTb	Neutral
944937238462308352	মহান আল্লাহ্ পাক ছাড়া আমার কোন ক্ষমতা নেই। আমি মহান আল্লাহ্ পাকের উপর ভরসা রাখি। আমি তার নিকট ফিরে যাবো। -পবিত্র সূরা হূদ: ৮৮।	Neutral
1008772671348195328	কথা সত্য । সর্বত্র মহিলা দর্শক । এবং টিকেট নাই । সব অগ্রিম বিক্রি হয়ে যাচ্ছে । ঈদের দিন থেকে চেষ্টা করতেছি এখন প… https://t.co/dpHuPPkGqf	Neutral
1043069340705337345	#কি হবে এ জীবন রেখে. #খুলনা আসার দিন মাওয়াতে ৭ ঘন্টা ফেরী বন্দ.. #আজ ঢাকা যাওয়ার জন্যে আরিচা পার হচ্ছি আজ ৪ ঘন্টা… https://t.co/b4jSAd0WZn	Negative
999570654964920320	#লাইভ বাংলা ছোট কবিতা : 1. আম পাতা জোড়া জোড়া 2. ঘুম পাড়ানি মাসি পিসি ৩। আয় আয় চাদ মামা ৪। ও আরও অনেক মজার ম… https://t.co/j1P0DRDJe8	Neutral
919563819835211776	RT @pakiobuj: কষ্ট মানুষকে কাঁদায়না নীরব করে রাখে কাঁদায়তো সুখ যে স্বপ্নে এসে আবার অজানাতেই চলে যায় আর দিয়ে যায় ভুলতে না পারার কিছু সম…	Neutral
922346867114913792	@engrabbikul থাক মন খারাপ করেন না, ওনি যেহেতু চায় না, তাহলে আর জোর করেন না,আপুকে আপুর মত করে থাকতে দেন, সবাই তো ভা… https://t.co/R9U68OEAFd	Positive
1014855138379362304	@ProthomAlo সর্বনিম্ন রেকর্ড না করে ৫০+ রান করতো তাও মন টা কে বুঝাইতাম। কখনো কখনো অঘটন ঘটে। তবে এত বড় অঘটন মেনে নেওয়া যায় না।	Negative
508612063258628097	বগুড়া সমিতি ও উত্তরবঙ্গ জনকল্যাণ সমিতির ত্রাণ বিতরণ http://t.co/ltirQtmYBi	Positive
1017261117972930561	RT @GoutamDas143: নামটি তার অমর্ত্য পদবী তার সেন । মোদী নিন্দা করতে তিনি লক্ষ ডলার নেন ।। সারা জীবন কাটল বিদেশের মাটিতে । হঠাৎ করে আসেন…	Negative
958343208387280896	RT @Mistimeye_: আমি ফুলের মত ভালোবাসা চাই না.. যা একদিন ঝরে যাবে ... আমি নদীর মত ভালবাসা চাই.. যা সারাজীবন বয়ে যাবে .... https://t.co/OHzV…	Neutral
919538107887763456	@JasikaParvin আপু যে মানুষ মন থেকে ভালোবাসে শে।তার ভালোবাসার মানুষ টি যেতো কষ্ট দেক শে মেনে নেবে।যে ভালোবাসা নিয়ে খেলা করবে শে মেনে নেবে না	Neutral
2601799336525622	আসামের ১৯ লাখেরও বেশি মানুষের নাম চূড়ান্ত নাগরিক তালিকা থেকে বাদ পড়েছে। আইন অনুযায়ী, এনআরসি থেকে বাদ পড়াদের নিজেদের ভারতীয় নাগরিকত্ব প্রমাণ করার জন্য আগামী ১২০ দিনের মধ্যে বিদেশি ট্রাইব্যুনালে আবেদন জানাতে হবে। অনিশ্চয়তায় মুষড়ে পড়েছেন অনেক পরিবার।	Negative
508441293425360896	উচ্চ মাধ্যমিক ১ম ও ২য় বর্ষের বাংলা কোচিংএ পড়তে আগ্রহী শিক্ষার্থী এবং সম্মানিত অভিভাবকবৃন্দ আজই যোগাযোগ করুন। ০১৭১৬ ২২০ ৫৪৩	Neutral
954307272305467393	কখনো দুঃখী হয়ো না, প্রভুই হতাশার মূহূর্তে আশা পাঠান, ভুলে যেও না প্রবল বৃষ্টি বর্ষণ সব সময় অন্ধকার মেঘ হতেই আসে। -জালালুদ্দীন রুমী (রহঃ)	Positive
2945238695509197	টেস্ট ও টি টোয়েন্টি অধিনায়ক সাকিব আল হাসান আর ফুটবল অধিনায়ক জামাল ভূঁইয়ার জীবনে এখন যেন দুই রকম সময়...	Positive
508587321633943552	বিশ্বম্ভরপুরে কোনাজাল ব্যবহারকারীদের বিরুদ্ধে বিক্ষোভ ও স্মারক লিপি প্রদান - Abnews http://t.co/LqA4oTfhgP	Negative
953948776913240064	কোন অজুহাত দিয়ে যদি কেউ চলে যেতে চায় তাকে আটকে রাখা যায় না।। সব জানা বস্তু গুলু যদি নতুন করে কস্টের বস্তু হয় তা… https://t.co/FCi63VHaYx	Neutral
2590091454363077	হাসপাতালে থাকা অণুজীবের মধ্যে এখন বিশ্বের সবচেয়ে আতঙ্কজনক নামগুলোর মধ্যে একটি ক্যানডিডা অরিস।	Negative
1080482245826224128	RT @sadiaafrinsadi1: ছাত্রলীগ নেতা রুবেল খান এক পথসভায় বলেন আওয়ামী লীগ হোক কিংবা বি এন পি !! যাই হোক !! রাজনীতি কর রাজনীতির মত !! এতে ইস…	Positive
508621627492696064	@bdsopon  কোথাও নাই মামা শান্তি	Negative
942310506236465152	অনেক আগ থেকেই টুইটার ঠান্ডা, তাছাড়া অনেক শীত, এমন ভাবে ঝড়গা শুরু করো যায়তে টুইটারে মাঠ গরম হয়ে যায়,বিনোদন হবে সুদু মজা আর মজা।	Neutral
1016690653999218688	সবকিছুর-ই একটা সীমা আছে, কথাটা কিন্তু ঠিক না। আসলে সবকিছুর সীমা থাকে না। ভুল কথাটা ভুল আছে, তা না হলে কেউ ভুল করব না বলে আবারও ভুল করত না।	Positive
941355824139530240	পাখি উড়েছিল সেদিন যেদিন ছিল মনের আকাশে হাজারো লেখা ছিল অনুভূতি নামক এক তুমি আর কিছু অনুকথা লেখা ছিল ভিন্ন ভিন্ন রঙের সুখ গুলো //	Neutral
2617589784946577	টেস্ট ক্রিকেটে বাংলাদেশের এখন শুধু আয়ারল্যান্ডের মুখোমুখি হওয়া বাকি! কিন্তু তার আগেই গড়ে ফেললো অনন্য এই রেকর্ড!	Positive
1075295881669304323	পুরা ঢাকা শহর দেখে মনে হলো ৩০ ডিসেম্বর মনে হয় এক দলের ই নির্বাচন হবে, আর কোন দল নেই, কারন সব এলাকার পাড়া মহল্লায়… https://t.co/zmqwzE6Ckg	Negative
999650651578740736	RT @abhijitmali346: আমি কি তোমায় খুব বিরক্ত করছি তুমি বলে দিতে পারো তা আমায় হয়তো আমার কোনো প্রয়োজন নেই তবু লেগে থাকি কেন একটা কোণায়…	Neutral
